Gemeinde;Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
0;Amberg;24649;6012;24.390441802912896
0;Ansbach;23378;5451;23.316793566601078
0;Aschaffenburg;40728;7504;18.42467098801807
0;Augsburg;147299;25488;17.303579793481287
0;Baden-Baden, Stadt;29571;5431;18.365966656521593
0;Bamberg;45173;6554;14.508666681424744
0;Bayreuth;43127;7067;16.386486423818027
0;Berlin, Stadt, Bezirk Charlottenburg-Wilmersdorf (Teil);175847;16182;9.202317924104477
0;Berlin, Stadt, Bezirk Friedrichshain-Kreuzberg, Berlin-Ost;71044;5896;8.29908225888182
0;Berlin, Stadt, Bezirk Friedrichshain-Kreuzberg, Berlin-West;67203;3047;4.534023778700355
0;Berlin, Stadt, Bezirk Lichtenberg;154160;33707;21.864945511157238
0;Berlin, Stadt, Bezirk Marzahn-Hellersdorf;148205;43729;29.50575216760568
0;Berlin, Stadt, Bezirk Mitte, Berlin-Ost;50398;4338;8.60748442398508
0;Berlin, Stadt, Bezirk Mitte, Berlin-West;110424;9368;8.48366297181772
0;Berlin, Stadt, Bezirk Neukölln;144837;18893;13.04431878594558
0;Berlin, Stadt, Bezirk Pankow (Teil);237623;38090;16.029593094944513
0;Berlin, Stadt, Bezirk Reinickendorf;132350;23866;18.03248961088024
0;Berlin, Stadt, Bezirk Spandau;116660;23619;20.24601405794617
0;Berlin, Stadt, Bezirk Steglitz-Zehlendorf;180189;18539;10.28864137100489
0;Berlin, Stadt, Bezirk Tempelhof-Schöneberg;185018;20626;11.1481045087505
0;Berlin, Stadt, Bezirk Treptow-Köpenick;168680;34646;20.539483044818592
0;Bielefeld, Stadt;188140;27056;14.380780270011693
0;Bochum, Stadt (Teil);212936;33145;15.56570988466018
0;Bonn, Stadt;192052;15681;8.164976152292088
0;Bottrop, Stadt;68582;14600;21.288384707357615
0;Brandenburg an der Havel, Stadt;42863;13569;31.656673587942983
0;Braunschweig, Stadt;154272;20472;13.270068450528935
0;Bremen, Stadt (Teil);292664;39792;13.596479238990788
0;Bremerhaven, Stadt;54416;12846;23.607027344898558
0;Chemnitz, Stadt;144147;46401;32.19005598451581
0;Coburg;24656;4278;17.350746268656717
0;Cottbus/Chóśebuz, Stadt;57702;21096;36.560257876676715
0;Darmstadt, Wissenschaftsstadt;89246;9219;10.329874728279139
0;Delmenhorst, Stadt;41839;10013;23.932216353163316
0;Dessau-Roßlau, Stadt;47064;15992;33.979262281149076
0;Dortmund, Stadt (Teil);316857;54297;17.13612134180403
0;Dresden, Stadt (Teil);346653;98329;28.365252860930095
0;Duisburg, Stadt (Teil);236303;51669;21.86557089838047
0;Düsseldorf, Stadt (Teil);336270;37801;11.241264460106462
0;Emden, Stadt;28485;5791;20.329998244690188
0;Erfurt, Stadt;129901;35026;26.96361074972479
0;Erlangen;64962;7130;10.975647301499338
0;Essen, Stadt (Teil);315678;54870;17.381635717408244
0;Flensburg, Stadt;54700;7527;13.760511882998172
0;Frankenthal (Pfalz), Stadt;24504;6191;25.26526281423441
0;Frankfurt (Oder), Stadt;31293;10960;35.02380724123606
0;Frankfurt am Main, Stadt (Teil);348697;34516;9.898565229984772
0;Freiburg im Breisgau, Stadt;137202;12011;8.754245564933456
0;Fürth;68985;11910;17.2646227440748
0;Gelsenkirchen, Stadt;121453;31302;25.7729327394136
0;Gera, Stadt;54101;22857;42.24875695458494
0;Hagen, Stadt der FernUniversität;94144;21046;22.35511556764106
0;Halle (Saale), Stadt;133297;36370;27.284935144826964
0;Hamburg, Freie und Hansestadt, Bezirk Altona;157644;11911;7.555631676435513
0;Hamburg, Freie und Hansestadt, Bezirk Bergedorf;70479;13184;18.706281303650734
0;Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel;164592;12752;7.7476426557791385
0;Hamburg, Freie und Hansestadt, Bezirk Hamburg-Mitte (Teil);130996;16360;12.48893095972396
0;Hamburg, Freie und Hansestadt, Bezirk Hamburg-Nord (Teil);197638;15408;7.7960716056628785
0;Hamburg, Freie und Hansestadt, Bezirk Harburg;75753;13459;17.766953123968687
0;Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil);245196;31640;12.903962544250314
0;Hamm, Stadt;95469;20558;21.53369156480114
0;Heidelberg, Stadt;85661;7550;8.81381258682481
0;Heilbronn, Universitätsstadt;56391;13131;23.285630685747726
0;Herne, Stadt;79873;17740;22.210258785822493
0;Hof;24040;5506;22.90349417637271
0;Ingolstadt;67325;12869;19.114741923505385
0;Jena, Stadt;67452;12684;18.80448318804483
0;Kaiserslautern, Stadt;51504;12771;24.796132339235786
0;Karlsruhe, Stadt;167430;22986;13.728722451173624
0;Kassel, documenta-Stadt;105803;15591;14.735877054525863
0;Kaufbeuren;24436;5802;23.743656899656244
0;Kempten (Allgäu);37887;7564;19.96463166785441
0;Kiel, Landeshauptstadt;150678;16402;10.885464367724552
0;Koblenz, Stadt;64793;9140;14.10646211782137
0;Krefeld, Stadt (Teil);120831;19860;16.436179457258486
0;Köln, Stadt (Teil);606107;62230;10.26716404859208
0;Landau in der Pfalz, Stadt;29397;4054;13.790522842466919
0;Landshut;39035;6344;16.25208146535161
0;Leipzig, Stadt (Teil);378125;82279;21.759735537190082
