Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Aach;380;76;20.0
Aach, Stadt;1500;408;27.2
Aachen, Stadt;140952;0;0.0
Aalen, Stadt;39063;7531;19.279113227350688
Aarbergen;3612;785;21.73311184939092
Aasbüttel;86;5;5.813953488372093
Abenberg, St;3787;820;21.65302350145234
Abensberg, St;8475;1648;19.44542772861357
Abentheuer;141;36;25.53191489361702
Absberg, M;974;172;17.659137577002053
Abstatt;3075;688;22.3739837398374
Abtsbessingen;218;111;50.91743119266055
Abtsgmünd;5025;1101;21.91044776119403
Abtsteinach;1696;324;19.10377358490566
Abtswind, M;575;130;22.608695652173914
Abtweiler;87;29;33.333333333333336
Achberg;1114;207;18.58168761220826
Achern, Stadt;15906;3386;21.287564441091412
Achim, Stadt;20078;3368;16.774579141348738
Achslach;668;214;32.035928143712574
Achstetten;3231;724;22.40792324357784
Acht;39;13;33.333333333333336
Achtelsbach;159;42;26.41509433962264
Achterwehr;474;36;7.594936708860759
Achtrup;809;179;22.126081582200246
Adelberg;1367;309;22.60424286759327
Adelebsen, Flecken;4339;681;15.69486056695091
Adelheidsdorf;1877;389;20.724560468833243
Adelmannsfelden;1258;329;26.15262321144674
Adelschlag;2077;368;17.717862301396245
Adelsdorf;5856;1065;18.186475409836067
Adelsheim, Stadt;2723;792;29.08556738890929
Adelshofen;1945;340;17.480719794344473
Adelsried;1698;327;19.257950530035334
Adelzhausen;1238;280;22.617124394184167
Adenau, Stadt;757;174;22.98546895640687
Adenbach;65;14;21.53846153846154
Adenbüttel;1004;160;15.936254980079681
Adendorf;7560;1217;16.097883597883598
Adlkofen;2863;593;20.712539294446383
Admannshagen-Bargeshagen;1485;524;35.28619528619529
Adorf/Vogtl., Stadt;3002;1413;47.06862091938707
Aerzen, Flecken;6924;1486;21.46158290005777
Affalterbach;2818;522;18.523775727466287
Affing;3780;904;23.915343915343914
Affinghausen;418;82;19.617224880382775
Affler (in Übereisenbach enthalten);0;0;
Agathenburg;673;110;16.344725111441306
Agethorst;106;15;14.150943396226415
Aglasterhausen;2952;761;25.779132791327914
Aham;1327;318;23.9638281838734
Ahaus, Stadt;25487;3331;13.069407933456272
Ahausen;1175;194;16.51063829787234
Ahlbeck;335;186;55.52238805970149
Ahlden (Aller), Flecken;840;180;21.428571428571427
Ahlefeld-Bistensee;251;41;16.334661354581673
Ahlen, Stadt;28845;5622;19.490379615184608
Ahlerstedt;2987;661;22.129226648811517
Ahlsdorf;1025;485;47.31707317073171
Ahlstädt;75;42;56.0
Ahnatal;5613;877;15.624443256725458
Ahneby;108;17;15.74074074074074
Ahnsbeck;844;188;22.274881516587676
Ahnsen;503;132;26.242544731610337
Aholfing;1309;323;24.675324675324674
Aholming;1628;450;27.64127764127764
Ahorn;4461;883;19.793768213405066
Ahorntal;1562;282;18.053777208706787
Ahrbrück;340;76;22.352941176470587
Ahrensburg, Stadt;22561;2564;11.364744470546519
Ahrensbök;5601;1287;22.978039635779325
Ahrensfelde;10327;3737;36.18669507117266
Ahrenshagen-Daskow;1185;561;47.34177215189873
Ahrenshoop, Ostseebad;301;76;25.249169435215947
Ahrenshöft;309;54;17.475728155339805
Ahrenviöl;300;55;18.333333333333332
Ahrenviölfeld;126;19;15.079365079365079
Aicha vorm Wald;1660;432;26.02409638554217
Aichach, St;13248;2886;21.784420289855074
Aichelberg;866;223;25.750577367205544
Aichen;819;261;31.86813186813187
Aichhalden;2791;692;24.793980652096025
Aichstetten;1821;445;24.43712246018671
Aichtal, Stadt;6230;1081;17.351524879614768
Aichwald;5013;686;13.684420506682626
Aidenbach, M;1806;477;26.411960132890364
Aidhausen;1177;0;0.0
Aidlingen;5659;1055;18.642869764976144
Aiglsbach;1293;296;22.892498066511987
Ailertchen;265;102;38.490566037735846
Aindling, M;3121;716;22.941364947132328
