state_(land),district_(kreis),regional_designation,municipality_name_(gemeindename),municipality_designation,area_km2,population_total,male,female,per_km2,postal_code,longitude,latitude
Schleswig-Holstein,"Flensburg, Stadt",Kreisfreie Stadt,Flensburg, Stadt,56.73,96431,47553,48878,1700,24937,943751,5478252
Schleswig-Holstein,"Kiel, Landeshauptstadt",Kreisfreie Stadt,Kiel, Landeshauptstadt,118.65,251751,123080,128671,2122,24103,"10,13727","54,321775"
Schleswig-Holstein,"Lübeck, Hansestadt",Kreisfreie Stadt,Lübeck, Hansestadt,214.19,217061,104263,112798,1013,23539,"10,683932","53,866269"
Schleswig-Holstein,"Neumünster, Stadt",Kreisfreie Stadt,Neumünster, Stadt,71.66,79461,39444,40017,1109,24534,"9,988422","54,069895"
Schleswig-Holstein,Dithmarschen,Kreis,Brunsbüttel, Stadt,65.21,12736,6451,6285,195,25541,"9,13735","53,896932"
Schleswig-Holstein,Dithmarschen,Kreis,Mun,,31.97,22004,10716,11288,688,25746,"9,091156","54,193962"
Schleswig-Holstein,Dithmarschen,Kreis,Averlak,,9.06,590,297,293,65,25715,"9,182663","53,941154"
Schleswig-Holstein,Dithmarschen,Kreis,Brickeln,,6.07,185,101,84,30,25712,"9,221166","54,00849"
Schleswig-Holstein,Dithmarschen,Kreis,Buchholz,,14.56,990,514,476,68,25712,"9,223774","53,987132"
Schleswig-Holstein,Dithmarschen,Kreis,Burg (Dithmarschen),,11.25,4100,1996,2104,364,25712,"9,26246","53,99748"
Schleswig-Holstein,Dithmarschen,Kreis,Dingen,,7.01,642,317,325,92,25715,"9,125804","53,960888"
Schleswig-Holstein,Dithmarschen,Kreis,Eddelak,,9.21,1342,683,659,146,25715,"9,137433","53,945888"
Schleswig-Holstein,Dithmarschen,Kreis,Eggstedt,,12.79,740,377,363,58,25721,"9,25927","54,054535"
Schleswig-Holstein,Dithmarschen,Kreis,Frestedt,,10.33,356,173,183,34,25727,"9,176133","54,023523"
Schleswig-Holstein,Dithmarschen,Kreis,Großenrade,,10.40,477,248,229,46,25712,"9,223435","54,02206"
Schleswig-Holstein,Dithmarschen,Kreis,Hochdonn,,5.46,1098,539,559,201,25712,"9,293145","54,019564"
Schleswig-Holstein,Dithmarschen,Kreis,Kuden,,11.37,656,343,313,58,25712,"9,192822","53,967853"
Schleswig-Holstein,Dithmarschen,Kreis,Quickborn,,6.95,186,86,100,27,25712,"9,206618","54,009984"
Schleswig-Holstein,Dithmarschen,Kreis,Sankt Michaelisdonn,,23.06,3516,1728,1788,152,25693,"9,121257","53,994807"
Schleswig-Holstein,Dithmarschen,Kreis,Süderhastedt,,15.74,784,380,404,50,25727,"9,20886","54,04991"
Schleswig-Holstein,Dithmarschen,Kreis,Diekhusen-Fahrstedt,,7.46,682,334,348,91,25709,"9,023165","53,946249"
Schleswig-Holstein,Dithmarschen,Kreis,Friedrichskoog,,53.27,2446,1225,1221,46,25718,"8,88014","54,005842"
Schleswig-Holstein,Dithmarschen,Kreis,Helse,,11.44,828,418,410,72,25709,"9,010226","53,977556"
Schleswig-Holstein,Dithmarschen,Kreis,Kaiser-Wilhelm-Koog,,13.05,351,186,165,27,25709,"8,926364","53,942933"
Schleswig-Holstein,Dithmarschen,Kreis,Kronprinzenkoog,,28.84,852,426,426,30,25709,"8,964528","53,97171"
Schleswig-Holstein,Dithmarschen,Kreis,Marne, Stadt,4.83,5647,2706,2941,1169,25709,"9,008761","53,953695"
Schleswig-Holstein,Dithmarschen,Kreis,Marnerdeich,,1.31,393,205,188,300,25709,"8,982956","53,948483"
Schleswig-Holstein,Dithmarschen,Kreis,Neufeld,,10.40,602,300,302,58,25724,"9,017576","53,907495"
Schleswig-Holstein,Dithmarschen,Kreis,Neufelderkoog,,9.77,104,57,47,11,25724,"8,968827","53,906958"
